jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,FAILURE TO OBEY FLAGMAN,,misdemeanor,public order,,46.61.015,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.015,,,,,
pierce,FAILURE TO OBEY POLICE,,misdemeanor,public order,same as above,46.61.015,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.015,,,,,
pierce,FALSE FIRE ALARM,,misdemeanor,public order,,9.40.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
pierce,FALSE IDENTIFICAITON,,misdemeanor,public order,,46.20.0921,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
pierce,FALSE IDENTIFICATION,,misdemeanor,public order,,46.20.0921,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
pierce,FALSE INFO,,gross misdemeanor,public order,,77.15.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.270,,,,,
pierce,FALSE INS CLAIM,,gross misdemeanor,public order,if claim is above $1500 it is class C felony ,48.30.230,https://app.leg.wa.gov/rcw/default.aspx?cite=48.30.230,,,,,
pierce,FALSE REPORT,,gross misdemeanor,public order,,9A.84.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040,,,,,
pierce,FALSE REPORT OF CRIME,,gross misdemeanor,public order,,9A.84.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040,,,,,
pierce,FALSE RPT,,gross misdemeanor,public order,,9A.84.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040,,,,,
pierce,FALSE STATEMENT TO PUB SERVANT,,gross misdemeanor,public order,,9A.76.175,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.175,,,,,
pierce,FALSE/FLIPPING PLATE,,gross misdemeanor,public order,,46.37.685,https://app.leg.wa.gov/rcw/default.aspx?cite=46.37.685,,,,,
pierce,FAMILY ABANDONMENT,,class C felony,public order,,26.20.030,https://app.leg.wa.gov/rcw/default.aspx?cite=26.20.030,,,,,
pierce,FEL DV CRT ORD VIO,,class C felony,violent,felony assumes prior convictions of individual or violent intent of violation ,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,FEL HARASS (NON DV),,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,"FEL HARASS-DV, DV-THREATS/DEATH THRT",,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,FEL POS F/A,,class B felony,public order,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,FEL POSS DANGEROUS WEAPON,,gross misdemeanor,public order,RCW says this would be a gross misdemeanor but the charge name implies felony ,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,FEL POSS F/A 2,,class C felony,public order,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
pierce,FEL PUR/ELUDE,,class C felony,public order,,46.61.024,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.024,,,,,
pierce,FEL VEHICLE PROWL,,class C felony,property,,9A.52.095,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.095,,,,,
pierce,FELONY DUI,,class B felony,public order,felony DUI only triggered by other actions/descriptors of the DUI,46.61.502,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
pierce,FELONY STALKING,,class B felony,violent,,9a.46.110,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.46.110,,,,,
pierce,FIGHT IN PUB,,misdemeanor,violent,assume its covered under misdemeanor disorderly conduct but unclear,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
pierce,FINANCIAL FRAUD-UNL POSS PROD/INST,,class C felony,public order,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320,,,,,
pierce,FIREALARM/EQUIPMENT TAMPERING,,misdemeanor,public order,,9.40.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.100,,,,,
pierce,FIREARM SALE/TRANSFER VIOLATION,,gross misdemeanor,public order,Class C felony w/ prior conviction,9.41.115,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.115,,,,,
pierce,FIREWORKS PROHIBITED,,civil infraction,public order,penalties found in WAC not RCW,http://app.leg.wa.gov/wac/default.aspx?cite=212-17-515,http://app.leg.wa.gov/wac/default.aspx?cite=212-17-515,,,,,https://app.leg.wa.gov/rcw/default.aspx?cite=70.77.401
pierce,FLD TO OBEY POLICE OFFICER,,misdemeanor,public order,,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022,,,,,
pierce,FOOD STAMPS-TRAFFICKING,,class C felony,public order,gross misdemeanor if stamp value <$100,9.91.142,https://app.leg.wa.gov/rcw/default.aspx?cite=9.91.142,,,,,
pierce,FORGERY,,class C felony,public order,,9A.60.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.020,,,,,
pierce,FTR ACC (INJ),,class C felony,public order,FTR seems to = failure to respond ,,,,,,,
pierce,FTR ACC (PROP),,gross misdemeanor,public order,,,,,,,,
pierce,FTR INJ ACC,,class C felony,public order,,,,,,,,
pierce,FUGITIVE,,other,other,,,,,,,,
pierce,FURNISH ALCOHOL TO A MINOR,,gross misdemeanor,public order,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
pierce,GRAFFITI POSSESS WITH INTENT,,gross misdemeanor,public order,considered malicious mischief,9A.48.090.2C%20GRAFFITI,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2C%20GRAFFITI,,,,,
pierce,GRAFFITI VANDALISM,,gross misdemeanor,public order,considered malicious mischief,9A.48.090.2C%20GRAFFITI,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2C%20GRAFFITI,,,,,
pierce,HAB OFFENDER,,other,public order,,46.65.010,http://app.leg.wa.gov/RCW/default.aspx?cite=46.65.010,,,,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.65.020
pierce,HARASS  /DV,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HARASS-THREAT PROP DAMAGE,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HARASS/THREATEN BOD. INJ,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HARASSMENT,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HARASSMENT - THREATEN MAL ACT,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HARASSMENT /DV,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HARASSMENT W/EXPLOSIVES,,class C felony,violent,,70.74.275,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.275,,,,,
pierce,HARASSMENT-THREATEN BODILY INJURY,,class C felony,violent,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
pierce,HEALTH PROFESS. UNLICENSED PRACTICE,,gross misdemeanor,public order,,18.130.190,,,,,,
pierce,HIT/RUN ATT,,gross misdemeanor,public order,,46.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
pierce,HIT/RUN ATTND-DAMAGE ONLY,,gross misdemeanor,property,,46.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
pierce,HIT/RUN PED,,class C felony,public order,,46.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
pierce,HIT/RUN UNATT,,misdemeanor,property,,46.52.010,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.010,,,,,
pierce,HOLD - ORDER OF RETRN,,other,other,,,,,,,,
pierce,HOLD AFP (ARMY),,other,other,,,,,,,,
pierce,HOLD AT&F,,other,other,,,,,,,,
pierce,HOLD COMM CUSTODY,,other,other,,,,,,,,
pierce,HOLD DEA,,other,other,,,,,,,,
pierce,HOLD FBI,,other,other,,,,,,,,
pierce,HOLD IMMIGRAT,,other,other,,,,,,,,
pierce,HOLD MAT WITNESS,,other,other,,,,,,,,
pierce,HOLD MISC,,other,other,,,,,,,,
pierce,HOLD REMANN HALL,,other,other,,,,,,,,
pierce,HOLD US MARSHAL,,other,other,,,,,,,,
pierce,HOLD WSH,,other,other,,,,,,,,
pierce,HOLD WSI,,other,other,,,,,,,,
pierce,HUMAN TRAFFICKING 1,,class A felony,violent,,9a.40.100,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.40.100,,,,,
pierce,HUMAN TRAFFICKING 2,,class A felony,violent,,9a.40.100,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.40.100,,,,,
pierce,IDENT THEFT  2,,class C felony,public order,,9.35.020,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
pierce,IDENT THFT 1,,class B felony,public order,,9.35.020,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
pierce,IDENT THFT 2,,class C felony,public order,,9.35.020,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
pierce,IDENTITY THEFT CRIMINAL ATTEMPT,,class C felony,public order,,9.35.020,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
pierce,ILL DRUG COND/PARA,,civil infraction,drug,,69.50.4121,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4121,,,,,
pierce,ILL DRUG CONDUCT,,civil infraction,drug,,,,,,,,
pierce,ILLEGAL DEPOSIT OF SOLID WASTE(SIP),,misdemeanor,public order,considered civil infraction is waste is between 1ft^3 and 1yd^3,70.95.240,http://app.leg.wa.gov/rcw/default.aspx?cite=70.95.240,,,,,
pierce,ILLEGALLY OBTAIN DISABLED PLACARD,,misdemeanor,public order,,46.19.050,http://app.leg.wa.gov/rcw/default.aspx?cite=46.19.050,,,,,
pierce,IM UPCS W INT,,class B/C felony,drug,class of felony depends on schedule of the drug,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,IMPERSONATE P/O,,gross misdemeanor,public order,,9A.60.045,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.045,,,,,
pierce,IMPROPERLY OBTAIN FINANCIAL INFO,,class C felony,public order,,9.35.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.35.010,,,,,
pierce,INCEST 1,,class B felony,sex,,9A.64.020.,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.64.020.,,,,,
pierce,INCEST 2,,class C felony,sex,,9A.64.020.,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.64.020.,,,,,
pierce,IND COND EXPOS,,misdemeanor,sex,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
pierce,IND COND/EXPOS,,misdemeanor,sex,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
pierce,IND COND/EXPOS TO PER <14,,gross misdemeanor,sex,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
pierce,IND LIB,,class B felony,sex,,9a.44.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44.100,,,,,
pierce,INDECENT EXPOSURE,,misdemeanor,sex,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
pierce,INDECENT LIBERTIES,,class B felony,sex,,9a.44.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44.100,,,,,
pierce,INTERF PO,,gross misdemeanor,public order,,,,,,,,
pierce,INTERF W/REPORT / DV,,gross misdemeanor,public order,,9A.36.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.150,,,,,
pierce,INTERF WITH STREETS,,misdemeanor,public order,,,,,,,,
pierce,INTERFER. W/HEALTH CARE FACILITY,,gross misdemeanor,public order,,9A.50.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030,,,,,
pierce,INTERFERE W/ RPT /DV,,gross misdemeanor,public order,,9A.36.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.150,,,,,
pierce,INTERFERE W/HEALTH CARE FAC,,gross misdemeanor,public order,,9A.50.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030,,,,,
pierce,INTERFERE WITH HEALTH CARE FACILITY,,gross misdemeanor,public order,,9A.50.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030,,,,,
pierce,INTIM FIREARM,,gross misdemeanor,violent,,http://www.codepublishing.com/WA/Everett/html/Everett10/Everett1078.html#10.78.020,http://www.codepublishing.com/WA/Everett/html/Everett10/Everett1078.html#10.78.020,,,,,
pierce,INTIM JUDGE (B),,class B felony,violent,,9A.72.160,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.160,,,,,
pierce,INTIM PUB SER,,class B felony,violent,,9A.76.180,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.180,,,,,
pierce,INTIM PUB SERV,,class B felony,violent,,9A.76.180,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.180,,,,,
pierce,INTIM W/ A WEAPON,,gross misdemeanor,violent,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
pierce,INTIM W/WPN /DV,,gross misdemeanor,violent,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
pierce,INTIM WEAPON,,gross misdemeanor,violent,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
pierce,INTIM WITNESS,,class B felony,violent,÷,9A.72.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.110,,,,,
pierce,INTIM WPN /DV,,gross misdemeanor,violent,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
pierce,INTRO CONTRA 1,,class B felony,public order,,9A.76.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.140,,,,,
pierce,INTRO CONTRA 2,,class C felony,public order,,9A.76.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.150,,,,,
pierce,INTRO CONTRA 3,,misdemeanor,public order,,9A.76.160,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.160,,,,,
pierce,INVOLV MINOR IN CS TRANSACTION,,class C felony,drug,,69.50.4015,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4015,,,,,
pierce,JUVENILE PAROLE HLD,,other,other,,,,,,,,
pierce,KIDNAPPING 1,,class A felony,violent,,9A.40.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.020,,,,,
pierce,KIDNAPPING 2,,class B felony,violent,,9A.40.030,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.030,,,,,
pierce,LEADING ORGANIZED CRIME/ORG/MANAGE,,class A felony,public order,,9A.82.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.060,,,,,
pierce,LEAVE CHLD UNATT/CAR,,misdemeanor,public order,,46.61.685,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.685,,,,,
pierce,LEGEND DRUG- POSS NO PRESC,,misdemeanor,drug,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
pierce,LITTERING,,civil infraction,public order,,70.93.060,http://app.leg.wa.gov/rcw/default.aspx?cite=70.93.060,,,,,
pierce,LITTERING GREATER THAN 1 CU. FT.,,misdemeanor,public order,,70.93.060,http://app.leg.wa.gov/rcw/default.aspx?cite=70.93.060,,,,,
pierce,LOADED GUN IN VEHICLE,,misdemeanor,public order,,77.15.460,https://app.leg.wa.gov/rcw/default.aspx?cite=77.15.460,,,,,
pierce,LOADED PISTOL IN VEH.,,misdemeanor,public order,,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
pierce,LOITER FOR PROSTITUTION,,misdemeanor,public order,referenced as an offense but can't find specific charge. would assume its misdemeanor like prostitution charge,13.40.213,http://app.leg.wa.gov/RCW/default.aspx?cite=13.40.213,,,,,
pierce,LPDA,,unknown,other,no idea what this stands for ,,,,,,,
pierce,LURING,,class C felony,violent ,,9A.40.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.40.090,,,,,
pierce,MAIL THEFT,,class C felony,property,,9A.56.370,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.370,,,,,
pierce,MAKE POSSESS MTR VEH THFT TOOLS,,gross misdemeanor,property,,9A.56.063,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
pierce,MAKING/POSS OF AUTO THEFT TOOLS,,gross misdemeanor,property,,9A.56.063,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
pierce,MAL EXPLOSION SUBST 2,,class A felony,violent ,felony class depends on degree of charge ,70.74.270,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.270,,,,,
pierce,MAL HARASS /DV,,class C felony,violent ,,9a.36.080,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080,,,,,
pierce,MAL HARASSMENT,,class C felony,violent ,,9a.36.080,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080,,,,,
pierce,MAL MISC 3 /DV,,gross misdemeanor,property,,9A.48.090.2b%20DV,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
pierce,MAL MISC 3/DV,,gross misdemeanor,property,,9A.48.090.2b%20DV,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
pierce,MAL MISCH,,class B felony,property,see above degrees for information ,,,,,,,
pierce,MAL MISCH 1,,class B felony,property,,9A.48.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.070,,,,,
pierce,MAL MISCH 2,,class B felony,property,,9A.48.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.080,,,,,
pierce,MAL MISCH 2 / DV,,class B felony,property,,9A.48.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.080,,,,,
pierce,MAL MISCH 3,,gross misdemeanor,property,,9A.48.090.2b%20DV,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
pierce,MAL MISCH 3 /DV,,gross misdemeanor,property,,9A.48.090.2b%20DV,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
pierce,MAL PLACEMENT OF EXPLOSIVES,,class A/B felony,violent ,felony class depends on degree of charge ,70.74.270,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.270,,,,,
pierce,MALICIOUS HARASSMENT,,class C felony,violent ,,9a.36.080,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080,,,,,
pierce,MALICIOUS INJ TO RAILROAD PROPERTY,,class B felony,property,,81.60.070,,,,,,
pierce,MANSLAUGHTER 1,,class A felony,violent,,9A.32.060,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.32.060,,,,,
pierce,MANSLAUGHTER 2,,class B felony,violent,,9A.32.060,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.32.060,,,,,
pierce,MASSAGE LICENSING VIOLATION,,misdemeanor,public order,,18.108.035,,,,,,
pierce,MATERIAL WITNESS - MISD,,other,other,,,,,,,,
pierce,MIN OPER VEH/ALC CONS,,misdemeanor,public order,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
pierce,MINOR EXHIBITING EFFECTS OF ALCOHOL,,gross misdemeanor,public order,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
pierce,MINOR IN POSSESSION IN PUBLIC,,gross misdemeanor,public order,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
pierce,MINOR IN POSSESSION OF PISTOL,,misdemeanor,public order,,9.41.060,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.060,,,,,
pierce,MINOR INTOX IN PUB,,gross misdemeanor,public order,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
pierce,MINOR OP VEH/ALC CONS,,misdemeanor,public order,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
pierce,MINOR OPER VEH AFTER ALCOHOL CONS,,misdemeanor,public order,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
pierce,MINOR POSS LIQ,,misdemeanor,public order,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
pierce,MINOR REMAIN PUB PLACE/CONS LIQ,,misdemeanor,public order,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
pierce,MONEY LAUNDERING,,class B felony,property,,9A.83.020,,,,,,
pierce,MORTGAGE FRAUD,,class B felony,property,"considered a ""serious level III offense""",19.144.090,https://app.leg.wa.gov/rcw/default.aspx?cite=19.144.090,,,,,
pierce,MTR VEH TRANSFER OF OWNERSHIP VIOL,,misdemeanor,property,I think it might be a class C felony based on the RCW but the charge name is so broad its hard to tell if it fits,46.12.750,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.750,,,,,
pierce,MURDER 1,,class A felony,violent,,9A.32.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.32.030,,,,,
pierce,MURDER 2,,class A felony,violent,,9A.32.050,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.32.050,,,,,
pierce,NARCOTICS - CONTR SUB,,class C felony,drug,anything other than MJ = B/C felony,,,,,,,
pierce,NEG DRIVING,,misdemeanor,public order,can range from civil infraction to misdemeanor if its 1st or 2nd degree,46.61.525,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.525,,,,,
pierce,NEG DRIVING 1ST,,misdemeanor,public order,,46.61.5249,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.5249,,,,,
pierce,NON-SUPPORT,,gross misdemeanor,public order,,26.20.035,https://app.leg.wa.gov/rcw/default.aspx?cite=26.20.035,,,,,
pierce,NVOL,,misdemeanor,public order,?,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
pierce,NVOL W/O ID,,misdemeanor,public order,?,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
pierce,NVOL WITHOUT ID,,misdemeanor,public order,?,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
pierce,OBSCENE LIT,,misdemeanor,public order,,,,,,,,
pierce,OBSCR ID MACHINE,,gross misdemeanor,public order,,9A.56.180,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.180,,,,,
pierce,OBSTR PO,,gross misdemeanor,public order,,9A.76.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.020,,,,,
pierce,OBSTR PO /DV,,gross misdemeanor,public order,,9A.76.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.020,,,,,
pierce,OBSTR PUB SERV,,misdemeanor,public order,,9.46.195,https://app.leg.wa.gov/rcw/default.aspx?cite=9.46.195,,,,,
pierce,OBSTR-FALSE CHRG/STATEMENTS,,gross misdemeanor,public order,,9A.76.175,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.175,,,,,
pierce,OBSTR. PED./TRAFFIC,,misdemeanor,public order,,,,,,,,
pierce,OBSTRUCT /DV,,misdemeanor,public order,,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
pierce,OBTAIN CS BY FRAUD,,class C felony,drug,,69.50.403,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.403,,,,,
pierce,OFFERING FALSE INSTRUMENT,,class C felony,public order,,40.16.030,https://app.leg.wa.gov/rcw/default.aspx?cite=40.16.030,,,,,
pierce,OPEN ALCOHOLIC CONTAINER,,civil infraction,public order,,46.61.519,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.519,,,,,
pierce,OPER BOAT WHILE INTOXICATED,,gross misdemeanor,public order,,79A.60.040,http://app.leg.wa.gov/rcw/default.aspx?cite=79A.60.040,,,,,
pierce,OPER VEH W/O IGNITION INTERLOCK DEV,,gross misdemeanor,public order,,46.20.740,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
pierce,OPER VEH W/O VAL CERT OF OWNER,,misdemeanor,public order,its illegal but charge not specified,46.12.520,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.520,,,,,
pierce,OPER VEH. W/O IGNITION INTERLOCK,,gross misdemeanor,public order,,46.20.740,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
pierce,OPERATE VEH W/O IGN INTERLOCK DEV,,gross misdemeanor,public order,,46.20.740,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
pierce,ORGANIZED RETAIL THEFT 1,,class B felony,property,,9A.56.350,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.350,,,,,
pierce,ORGANIZED RETAIL THEFT 2 ND,,class C felony,property,,9A.56.350,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.350,,,,,
pierce,OWN DOG THAT ATTACKS,,gross misdemeanor,public order,,16.08.100,http://app.leg.wa.gov/RCW/default.aspx?cite=16.08.100,,,,,
pierce,PARKS - TRESPASS,,misdemeanor,public order,,,,,,,,
pierce,PATRONIZE PROST,,misdemeanor,public order,,9A.88.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.110,,,,,
pierce,PED/VEH OBS TRAFFIC,,misdemeanor,public order,illegal but charge not specified,46.61.570,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.570,,,,,
pierce,PEDDLING/SOLICIT W/O LICENSE,,misdemeanor,property,,36.71.060,https://app.leg.wa.gov/rcw/default.aspx?cite=36.71.060,,,,,
pierce,PEDDLING/SOLICT W/O LICENSE,,misdemeanor,property,,36.71.060,https://app.leg.wa.gov/rcw/default.aspx?cite=36.71.060,,,,,
pierce,PEDESTRIAN INTERF,,misdemeanor,public order,Oddly anti-homeless?Seems to be a Seattle ordinance ,http://www.codepublishing.com/WA/UniversityPlace/html/UniversityPlace09/UniversityPlace0955.html,http://www.codepublishing.com/WA/UniversityPlace/html/UniversityPlace09/UniversityPlace0955.html,,,,,
pierce,PERJURY,,class B/C felony,public order,class of felony depends on 1/2nd degree,9A.72.020,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.72.020,,,,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.72.030
pierce,PETTY THEFT,,misdemeanor,property,"theft in 3rd degree is considered ""petty theft"" according to the internet",9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
pierce,PETTY THEFT /DV,,misdemeanor,property,"theft in 3rd degree is considered ""petty theft"" according to the internet",9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
pierce,PHON HARASS /DV,,class C felony,public order,"RCW says with prior charges/no contact order against victim it becomes class C felony, assume if its related to DV it would trigger felony charge ",9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
pierce,PHONE HARAS /DV,,class C felony,public order,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
pierce,PHONE HARASS -NON DV,,gross misdemeanor,public order,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
