jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,ATT INT CONTRABAND,,class C felony,public order,"based on introducing contraband in the first degree, with criminal attempt modification: https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.020",9A.76.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.140,,,,,
pierce,ATT MURDER 1,,class A felony,violent,see criminal attempt RCW,9A.28.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.020,,,,,
pierce,ATT MURDER 2,,class A felony,violent,see criminal attempt RCW,9A.28.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.020,,,,,
pierce,ATT UNL IMPRIS/DV,,gross misdemeanor,violent,based on unlawful imprisonment with criminal attempt modifier,9A.40.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.040,,,,,
pierce,ATTEMPTED TAMPER WITH A WITNESS/DV,,class C felony,public order,,9A.72.120,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.120,,,,,
pierce,AUTO THFT TOOLS,,gross misdemeanor,property,,9A.56.063,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
pierce,BAIL JUMP,,other,public order,depends on crime person jumped bail for,9A.76.170,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.170,,,,,
pierce,BAIL JUMPING,,other,public order,depends on crime person jumped bail for,9A.76.170,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.170,,,,,
pierce,BRIBERY,,class B felony,public order,,9A.56.120,,,,,,
pierce,BUNCO,,class B felony,public order,,9.47.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9.47.120,,,,,
pierce,BURGLARY 1,,class A felony,property,,9A.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.020,,,,,
pierce,BURGLARY 2,,class B felony,property,,9a.52.030,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.52.030,,,,,
pierce,BUSINESS LIC VIOL,,misdemeanor,public order,depends on kind of business?,,,,,,,
pierce,BUY/SELL VEH W/ALT SERIAL NUMBER,,gross misdemeanor,public order,,46.12.720,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.720,,,,,
pierce,CARRY CONCEALED WPN W/O PERMIT,,civil infraction,public order,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
pierce,CARRYDANGWPNKNIFE,,gross misdemeanor,public order,,9.41.250,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.250,,,,,
pierce,CARRYING A FIREARM - NO PERMIT,,civil infraction,public order,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
pierce,CCW,,civil infraction,public order,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
pierce,CCW W/O PERMIT,,civil infraction,public order,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
pierce,CHILD MOLEST 1,,class A felony,sex,,9A.44.083,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.083,,,,,
pierce,CHILD MOLEST 2,,class B felony,sex,,9A.44.086,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.086,,,,,
pierce,CHILD MOLEST 3,,class C felony,sex,,9A.44.089,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.089,,,,,
pierce,CHILD RAPE 1,,class A felony,sex,,9A.44.073.,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.44.073.,,,,,
pierce,CHILD RAPE 2,,class A felony,sex,,9a.44.076,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.44.076,,,,,
pierce,CHILD RAPE 3,,class C felony,sex,,9a.44.079,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.44.079,,,,,
pierce,CHILD UNATT IN VEH/LIQ EST,,misdemeanor,public order,,46.61.687,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.685,,,,,
pierce,CIVIL CNTMPT OF CRT,,misdemeanor,public order,up to judge,7.21,http://apps.leg.wa.gov/RCW/default.aspx?cite=7.21&full=true,,,,,
pierce,CIVIL DRG CRT VIOL,,misdemeanor,public order,?,,,,,,,
pierce,CIVIL FAMILY COURT,,misdemeanor,public order,?,,,,,,,
pierce,COERCION,,gross misdemeanor,public order,,9A.36.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.070,,,,,
pierce,COM. W/MINOR FOR IMMORAL PURPOSE,,gross misdemeanor,sex,can be felony if previous sexual offender,9.68a.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090,,,,,
pierce,COMM CUSTODY JAIL,,other,other,other?,,,,,,,
pierce,COMM LIC REQUIRED,,other,public order,fine?,19.28.131,http://app.leg.wa.gov/RCW/default.aspx?cite=19.28.131,,,,,
