,jurisdiction,booking_charge_desc,charge_count,seriousness,category,type,magda notes,notes,rcw,src
1557,pierce,UMCS,70,,class C felony,drug,,UMCS=unlawful manufacturing of controlled substance,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
1685,pierce,VIOL COURT ORD /DV,70,,gross misdemeanor,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
729,pierce,HOLD MAT WITNESS,69,,other,other,,,,
985,pierce,NVOL WITHOUT ID,68,,misdemeanor,public order,,?,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005
1239,pierce,RECK ENDAN /DV,65,,gross misdemeanor,public order,,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050
605,pierce,FELONY DUI,64,,class B felony,public order,,felony DUI only triggered by other actions/descriptors of the DUI,46.61.502,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502
1094,pierce,POSS MARIJUANA - 40 GRAMS OR LESS,62,,misdemeanor,drug,,,69.50.4014,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4014
1722,pierce,VUCSA CONSPIRACY,61,,class C felony,drug,,assume class C felony as with other UCSA crimes ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
652,pierce,FTR INJ ACC,60,,class C felony,public order,,,,
1633,pierce,UU BLDG DRUGS,57,,class C felony,drug,,,69.53.010,http://app.leg.wa.gov/rcw/default.aspx?cite=69.53.010
201,pierce,CHILD MOLEST 2,55,,class B felony,sex,,,9A.44.086,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.086
300,pierce,CRIM TRSP 1 /DV,54,,gross misdemeanor,property,,,9A.52.070,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070
609,pierce,FINANCIAL FRAUD-UNL POSS PROD/INST,53,,class C felony,public order,,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320
670,pierce,HARASS/THREATEN BOD. INJ,53,,class C felony,violent,gross misd. not felony,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020
773,pierce,IND COND/EXPOS,53,,misdemeanor,sex,,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010
210,pierce,CHILD RAPE 2,52,,class A felony,sex,,,9a.44.076,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.44.076
862,pierce,LPDA,52,,unknown,other,,no idea what this stands for ,,
1174,pierce,PSP,52,,gross misdemeanor/class B felony,property,ambiguous,see PSP charges above,,
1242,pierce,RECK ENDANGERMENT,52,,gross misdemeanor,public order,,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050
1200,pierce,RAPE 2,51,,class A felony,sex,,,9A.44.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.050
548,pierce,FAIL TO STOP AND GIVE INFO,49,,misdemeanor,public order,,contained within failure to obey/comply,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022
1090,pierce,POSS LEG. DRUG/PROHIBITED ACT,48,,misdemeanor,drug,,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030
1170,pierce,PROST,47,,misdemeanor,sex,,,9A.88.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.030
1398,pierce,TAMP WITNESS,47,,class C felony,public order,,,9A.72.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.120
725,pierce,HOLD COMM CUSTODY,44,,other,other,,,,
730,pierce,HOLD MISC,44,,other,other,,,,
731,pierce,HOLD REMANN HALL,44,,other,other,,,,
956,pierce,MURDER 1,44,,class A felony,violent,,,9A.32.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.32.030
830,pierce,JUVENILE PAROLE HLD,43,,other,other,,,,
9,pierce,AIM/DISCHARGE FIREARM,42,,gross misdemeanor,violent,,public order?,9.41.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230
223,pierce,COM. W/MINOR FOR IMMORAL PURPOSE,42,,gross misdemeanor,sex,can be a class C felony depending on circumstnaces,can be felony if previous sexual offender,9.68a.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090
1020,pierce,OPER VEH W/O IGNITION INTERLOCK DEV,42,,gross misdemeanor,public order,,,46.20.740,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740
1084,pierce,POSS DANGEROUS WPN,42,,gross misdemeanor,public order,,,9.41.250,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250
1085,pierce,POSS DEP MIN ENG SEX EXP CONDUCT,42,,class B felony,sex,,,9.68A.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.070
333,pierce,CUST ASLT,41,,class C felony,violent,,,9A.36.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.100
512,pierce,ESCAPE 2,41,,class C felony,public order,,,9A.76.120,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.120
1567,pierce,UNL SOL TO POSS CONT SUB,41,,class C felony,public order,,solicitation not mentioned in controlled substances act ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
211,pierce,CHILD RAPE 3,40,,class C felony,sex,,,9a.44.079,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.44.079
288,pierce,CRIM IMPERSON 1,40,,class C felony,public order,,,9A.60.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.040
840,pierce,KIDNAPPING 1,40,,class A felony,violent,,,9A.40.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.020
