release_disposition_desc,jurisdiction_cd
Mini-Chain,LYNM
Mini-Chain,FEDD
Mini-Chain,MTVM
Mini-Chain,TULA
Mini-Chain,LKM
Mini-Chain,EDMM
Mini-Chain,NED
Mini-Chain,SEAD
Mini-Chain,EVED
Mini-Chain,JRA
Mini-Chain,OKAD
Mini-Chain,YAKD
Mini-Chain,PNDS
Mini-Chain,GRA1
Mini-Chain,DOUS
Mini-Chain,EMMC
Mini-Chain,PACM
Mini-Chain,WTMS
Mini-Chain,S37
Mini-Chain,WHTS
Mini-Chain,MVM
Mini-Chain,ISLD
No Charges Filed,SUP
No Charges Filed,PD1
No Charges Filed,TACM
No Charges Filed,STEI
No Charges Filed,UPM
No Charges Filed,LKM
NCF Dist,SUP
NCF Dist,PD1
NCF Dist,BONM
NCF Final,SUP
NCF Final,PD1
NCF Final,TACM
NCF Final,LKM
NCF Final,EGM
NCF Final,UPM
"NCF, LAKEWOOD",SUP
"NCF, LAKEWOOD",PD1
"NCF, Pending Inv",SUP
"NCF, Pending Inv",PD1
"NCF, Pending Inv",TACM
"NCF, Pending Inv",EGM
NCF Sup,PD1
NCF Sup,TACM
NCF TacM,SUP
NCF TacM,PD1
No Prob Cause,SUP
No Prob Cause,TACM
No Prob Cause,PD1
No Prob Cause,UPM
Not Guilty Verdict,SUP
Not Guilty Verdict,PD1
Not Guilty Verdict,TACM
Not Guilty - Insanity,SUP
PDC,SUP
PDC,PD1
PDC,TACM
PDC,UPM
PDC,FIRM
PDC,DOC
PDC,RUSM
PDC,EATM
PDC,SUMM
PDC,BONM
PDC,JRA
PR,GIGM
PR,FIRM
PR,LKM
PR,TACM
PR,BONM
PR,ORTM
PR,SUP
PR,ROYM
PR,SUMM
PR,PD1
PR,RUSM
PR,UPM
PR,PUYM
PR,STEI
PR,EGM
PR,EATM
PR,MILM
PR,JUV
PR,BUCM
PR,PACM
PR,SUPM
PR,DOC
PR,DUPM
Police Department,TACM
Police Department,PUYM
Police Department,MILM
Police Department,SUMM
Police Department,LKM
Police Department,EATM
Police Department,BONM
Police Department,FIFM
Police Department,PD1
Police Department,SUP
Police Department,ORTM
Police Department,DOC
Police Department,GIGM
Police Department,BUCM
Police Department,S03
Police Department,FEDM
Police Department,IMM
Police Department,S06
Police Department,AFA
Police Department,KINS
Police Department,THSC
Police Department,ENUM
Police Department,PACM
Police Department,KING
Police Department,LEWD
Police Department,KSPS
Police Department,KEND
Police Department,KIRM
Probation/Parole Officer,JRA
Probation/Parole Officer,DOC
Probation/Parole Officer,SUP
Probation/Parole Officer,JUV
Probation/Parole Officer,OTHR
Probation/Parole Officer,KSPS
Progress House,DOC
Quashed,KING
Quashed,S03
Quashed,SUP
Quashed,KINS
Quashed,JUV
Quashed,PD1
Quashed,MASS
Quashed,BONM
Quashed,GCSC
Release without charge,OTHR
Release without charge,SUP
Release without charge,RUSM
Release without charge,TACM
Release without charge,KEND
Release without charge,BONM
Release without charge,KINS
Release without charge,PD1
Release without charge,PUYM
Release without charge,DAYM
Release without charge,POM
Release without charge,SEAM
Release without charge,MASS
Release without charge,LKM
Release without charge,MILM
Release without charge,COLD
Release without charge,FED
Release without charge,FIFM
Release without charge,KING
Release without charge,KTTM
Release without charge,KITD
Release without charge,DOC
Release without charge,WHAD
SIP,TACM
SIP,PD1
SIP,UPM
SIP,EGM
SIP,RUSM
SIP,LKM
SIP,SUP
SIP,EATM
SIP,FIRM
SIP,SUMM
SIP,BONM
SIP,JUV
Self,SUP
Self,PD1
Sheriff's Office,DOC
Sheriff's Office,SUP
Sheriff's Office,OTHR
Sheriff's Office,KSPS
Sheriff's Office,TACM
Suspended Sentence,TACM
Suspended Sentence,PD1
Suspended Sentence,SUP
Suspended Sentence,LKM
Suspended Sentence,FIFM
Suspended Sentence,STEI
Suspended Sentence,FIRM
Suspended Sentence,UPM
Suspended Sentence,RUSM
Suspended Sentence,EGM
Suspended Sentence,PUYM
Teletype Release,THSC
Time Payments,SUP
Time Payments,BONM
