booking_charge_desc,booking_charge_txt
FUGITIVE,ROBBERY
FUGITIVE,UIBC
PSP 1,DRUG CRT
TRAFFICKING STOL PROP 1,DRUG CRT
ORGANIZED RETAIL THEFT 2 ND,ATTEMPT
MAL MISCH 1,ATTEMPTED
POSS DANG WEAPON,DV
POS WPN CAUSE HARM,DV
CUST INTER,
HARASSMENT /DV,GROSS MISD
VIO NC ORD /DV,POST SENTENCE
RECK DRV,BAIL BOND SURRENDER
UNL POSS FIREARM 1,BAIL BOND SURRENDER
UICD,
PROBAT HLD,REND CRIM ASST 3
VIOLATION OF OCCUPATIONAL LICENSE,
PROBAT HLD,VNCO/ASLT 4 DV
RECKLESS ENDANGERMENT,
ORGANIZED RETAIL THEFT 2 ND,W/ SPECIAL CIRCUMST
HIT/RUN ATT,PROPERTY
UPCS W INTENT,METH
FAIL TO COMPLY,
CRIM ASLT /DV,`
FUGITIVE,THFT BY SHPLFTING
PROBAT HLD,UPCS/CT
COMM CUSTODY JAIL,UPCS 2 CTS
ASLT 1,DV
THEFT 3RD,DV
DEST PROP /DV,DV
COMM W/MINOR FOR IMMORAL PURPOSE,
ASLT 2,ATT
THEFT 1,FTA DRUG CT SCREEN
VEH OPR -REF COMPLY POLICE,
PROBAT HLD,UPCS-DOSA
COMM CUSTODY JAIL,HARASSMENT
POSSESS FICT/ALTERED LICENSE,
COMM CUSTODY JAIL,VEH ASLT
VEH PROWL,1ST DEGREE
THEFT W/INTENT TO RESELL 3,
COMM CUSTODY JAIL,SPOKANE//ROB 1X3
ASLT/VIO NC ORDER,ORDER #17L042S
THREATS TO HARM-DV,
ROBBERY 1,ATTEMPT
RAPE 1,DV
ASLT 3,HOSPITAL STAFF
CRIM TRSP 1 /DV,1ST
MINOR REMAIN PUB PLACE/CONS LIQ,
COMM CUSTODY JAIL,ASLT 3 W/WEAPON
HUMAN TRAFFICKING 2,
ESCAPE FROM CUSTODY,
UNL PROD PAYMENT INSTR,
FUGITIVE,THEFT 1 (2 CTS)
MURDER 2,DV
COMM CUSTODY JAIL,CRIM MISCH WEAPON
DRIVE BY SHOOTING,DRIVE BY SHOOTING
COMM CUSTODY JAIL,ECCAPE/ROBBERY 1
UPCS,FTA 3.5 HEARING
COMM CUSTODY JAIL,ROB 1
UPCS W INTENT,MARIJUANA
OBSTR PO,DV
FUGITIVE,"DWI, UPCS"
PROBAT HLD,FORGERY
COMM CUSTODY JAIL,ID THEFT/FORGERY
PROBAT HLD,UPOF
PROBAT HLD,DWLS /RECKESS DR
UNLAW DEL CS,DRUG COURT
VIOL PROT ORD,
FUGITIVE,ID THFT 2
COMM CUSTODY JAIL,IDENT THFT 2
HARASSMENT /DV,BODILY INJ
COMM CUSTODY JAIL,FAIL TO REGISTER
ASSAULT 4 /DV,BURIEN
VIOL PROTECTION OR/DV,
PROBAT HLD,UNL SOL POSS CON SU
ASLT 1 / DV,FTA ARRAIGNMENT
ORGANIZED RETAIL THEFT 1,3RD
ASLT/DV,STRANGULATION
COMM CUSTODY JAIL,ATT POS CNTRL SUB
COMM CUSTODY JAIL,ID THEFT
UNL TRANSIT COND,BUS CONDUCT
DWI,MARIJUANA
PROBAT HLD,CHILD RAPE 1 (X2)
CRIM TRESP,FIRST DEGREE
FUGITIVE,BURGLARY 1
CHILD RAPE 2,ATTEMPTED
NVOL,W/O ID
COMM CUSTODY JAIL,ATTMPTED UPCS
VIOL NARC,
THEFT 3,BBS
COMM CUSTODY JAIL,ASLT 2 W/DEADLY WEA
ASLT 3,FTC EHM
PROBAT HLD,RAPE/CHILD 1ST
COMM CUSTODY JAIL,IDENTITY THEFT
UPCS,FTA O/H
THEFT 3,ATTEPTED
PROBAT HLD,CT/MM3
PROBAT HLD,CRIM TRES 1
BURGLARY 2,FTA ARRAIGNMENT
MINOR INTOX IN PUB,
VOYEURISM -1 (C),ATTEMPTED`
FEL POSS DANGEROUS WEAPON,FIREARM
NVOL W/O ID,W/O ID
ESCAPE 1,ATT
ATT MURDER 2,
COMM CUSTODY JAIL,ATMP  UPCS
PROM PROST 2,FTA O/H
COMM CUSTODY JAIL,ATT POSS CS
DIST TABACCO W/O LICENSE,
PROBAT HLD,"BURG 2, THEFT 3RD"
PROBAT HLD,MAL MISC/RESISTING
DRUG PARA,PIPES
THEFT OF MV,ATT
PROBAT HLD,THEFT
COMM CUSTODY JAIL,POSV/ELUD ATT
COMM CUSTODY JAIL,RES BURG/ATTEMP
UPCS (MJ) PERS,CRIMINAL SOLICITATIO
MANSLAUGHTER 1,
PHON HARASS /DV,
COMM CUSTODY JAIL,ATT UPCS W/INT
MAL MISCH 1,FTA SUMMONS
COMM CUSTODY JAIL,"BURG 2,  UPCS"
COUNTERFEITING,CONTERFEIT $20/$50
ESCAPE 2,ATTEMPTED
FALSE IDENTIFICATION,
COMM CUSTODY JAIL,ID THEFT 2 / FORGERY
PROBAT HLD,CRIM TRESP 1
LOADED PISTOL IN VEH.,
PSP 2,BBS
ASLT POL DOG,ATTMEPTED
MINOR EXHIBITING EFFECTS OF ALCOHOL,
COMM CUSTODY JAIL,ROB2
PROBAT HLD,PSV
UNL POSS FIREARM 2,BBS
COMM CUSTODY JAIL,UPCS W/INTENT
FUGITIVE,FEL POSS F/A
AGGR MURDER 1,
AGG BEG,
PROBAT HLD,REND CRIM ASST
OBSCENE LIT,
ASLT CHILD 1ST,DV
VIO PROT OR /DV,`
PROBAT HLD,ASLT 4TH
CCW W/O PERMIT,
CONDUCT ACTIVITY W/O LICENSE,
UPCS BY PERSON NOT A PRISONER,
THEFT OF MV,ATTEMPTTED
PROBAT HLD,UNL SOL TO POSS UPC
FELONY STALKING,DV
IND COND/EXPOS TO PER <14,
RAPE 1,ATTEMPT
COMM CUSTODY JAIL,"IDENT THEFT, PSP 2"
FEL HARASS (NON DV),2ND
ROBBERY 1,DV
COMM CUSTODY JAIL,SEX EXPLOITATION
ABANDON DEPENDENT SECOND,
PROBAT HLD,ASSAULT 4/HARASS DV
COMM CUSTODY JAIL,CHILD RAPE 1 X2
UNL. HARBORING RUNAWAY,
SELLING MTV. W/TURNED BACK ODOM,
COMM CUSTODY JAIL,THEFT 2
ASLT CHILD 3RD,FTA SENTENCING
RES BURGLARY,ATTEMPTED/DV
COMM CUSTODY JAIL,UPCS-METH
FUGITIVE,PV//OREGON DOC
HOLD REMANN HALL,"UPCS, THEFT 3, MARIJ"
CRIMINAL ASLT,4TH DEGREE
OBSTR-FALSE CHRG/STATEMENTS,DRUG COURT
UNLAW POS PAY INSTR,DRUG COURT
RIOT-ARMED,
PROM PROST 2,FTA JURY TRIAL
FUGITIVE,ROBBERY 1
RECK DRV,BBS
PROBAT HLD,SSOSA REVIEW
COMM CUSTODY JAIL,DV CT ORDER VIOL
VEH/PED INTERFERENCE-OBSTRUCT TR,
FUGITIVE,STOLEN PROP
THREAT TO BOMB OR INJURE PROPERTY,
MALICIOUS INJ TO RAILROAD PROPERTY,
UNLAW POS PAY INSTR,CHECKS
HOLD REMANN HALL,ASLT 2 DV
COMM CUSTODY JAIL,TMVWOP
JUVENILE PAROLE HLD,"BURG 2, ESCAPE 2"
PROBAT HLD,"CR 2, CM2"
FUGITIVE,USOF/MENACE
FUGITIVE,ASLT WEAPON.DV
CONTEMPT-TRUANCY CRT ORDER,
UPCS W INTENT,MJ
PROBAT HLD,MAL MISCH 3
COMM CUSTODY JAIL,UN POSS OF FIREARM
HARASSMENT /DV,THREATS
ROBBERY 1,CONSIPRACY
ASLT 2 -DV,DV
COMM CUSTODY JAIL,UUBDP
CHILD MOLEST 2,DV
CHILD MOLEST 1,DV
POSS UNLAWFUL FIREARM,SAWED OFF SHOTGUN
COMM CUSTODY JAIL,MURDER 2ND
COMM CUSTODY JAIL,VUSCA
FIGHT IN PUB,DV
PSP 1,DRUG COURT
ASLT CHILD 2ND,FTA SUMMONS
DWLS/DWLR,3
PROBAT HLD,THEFT 3/ RESISTING
DWLS/DWLR,3RD DEEGREE
ANIMAL CRUELTY SECOND DEGREE,INFLICT INJURY
CRIM TRESP 2,UNL CAMPING IN PUBLI
PROBAT HLD,UNL SOL UPCS
PROBAT HLD,TMVWOP
COMM CUSTODY JAIL,ID THEFT 1
ASLT/DV,4TH
PROBAT HLD,HARASS/DV
FEL HARASS (NON DV),MHP COURT
AGRESSIVE BEGGING,
DWLS/R 1ST/2ND,AID/ABET
UNL POSS FIREARM 2,FTC EHM
SEXUAL ASSAULT,
COMM CUSTODY JAIL,ASLT 3/REST ARREST
POSS SUSP DRV LIC,
Unlawful Camping,
MAL EXPLOSION SUBST 2,
CHILD MOLEST 2,ATT
COMM CUSTODY JAIL,ASLT ON LEOF
COMM CUSTODY JAIL,CRIM MISC W/DEAD WP
PROBAT HLD,FTA
COMM CUSTODY JAIL,A/UPCS
EXTOR 1,
HOLD AFP (ARMY),
THEFT 2,THERAPEUTIC COURT
CRIM TRESP 1,DRUG COURT
CHILD RAPE 1,ATTEMPT
CHILD RAPE 2,ATTEMPT
HOLD REMANN HALL,THEFT 1
PROBAT HLD,ASLT 4/MAL MISH 3
VIO ANTI HARRASS,
PROBAT HLD,FAILURE TO PAY
CRIM TRESP,DV
COMM CUSTODY JAIL,MANUFACTURE DRUGS
UPCS W INTENT,SEARCH WARRANT
COMM CUSTODY JAIL,ESC
INTERF WITH STREETS,
FAIL TO DISPERSE,
VIO NC ORD /DV,PRE SENTENCE
PROBAT HLD,UPCS SOLICITATION
PHONE HARASSMENT,
RECKLESS BURNING  2 ND DEGREE,
THEFT 3,FTA
RES BURGLARY,ATTEMPT
FEL HARASS (NON DV),THREATS TO LE
POTENTIALLLY DANGEROUS DOG -NOTIFY,
UPCS,XANAX
UNLAWFUL INHALATION,
CRIMINAL ATTEMPT,DV
PROBAT HLD,UPF/2ND ATTEMPTED
VEH PROWL,ATTEMPT
TRESP PUB,
FUGITIVE,FORGERY/FPO
PROBAT HLD,ROBBERY 2ND
POSSESSION OF UNLAWFUL FIREARMS,SHT BARREL SHOTGU
COMM CUSTODY JAIL,FTRASO
COMM CUSTODY JAIL,METH
UPCS,HEROIN/METH
ASLT 2 -DV,FTA PLEA
DRIVE BY SHOOTING,CONSPIRACY TO COMM
FELONY DUI,W/PRIOR
BURGLARY 2,FTA SUMMONS
COMM CUSTODY JAIL,THEFT 1 / TRAF STOL
COMM CUSTODY JAIL,UPCS ATTEMPTED
COMM CUSTODY JAIL,ASSAULT 3 RD
THEFT 3RD,SHOPLIFT
HOLD US MARSHAL,DANGEROUS DRUGS
FELONY DUI,W/PRIORS
COMM CUSTODY JAIL,RECKLESS BURN X2
FORGERY,FTA
COMM CUSTODY JAIL,CHILD MOLEST 2
DWLS/DWLR,THIRD
PROBAT HLD,ASSLT 4
DV CT ORD VIO 2X CONVICTIONS,3RD
RESTRICTED/OCCUPATIONAL DR LIC,
DWLS/DWLR,3 RD
PATRONIZE PROST,
JUVENILE PAROLE HLD,HARRASS/THREATS
MAL MISC 3 /DV,ATTEMPTING
COMM CUSTODY JAIL,ID THEFT 2 (2 CTS)
UPCS LEGEND W/O PRESCRIPTION,
FORGERY,FTA ARRAIGNMENT
INTERFERE W/HEALTH CARE FAC,
DISCH FIRWORK,
PROBAT HLD,MM3
PROBAT HLD,HARASS/MM3
COMM CUSTODY JAIL,ASSLT3
STALKING,DV
THEFT 3RD,SHOPLIFTING
DRIVE W/LIC SUSPENDED/REVOKED,
ASLT 4 W/ SEXUAL MOTIVATION,
PROBAT HLD,CHILD RAPE 2
POSSESS COUNTERFEIT SUBSTANCE,
MINOR OP VEH/ALC CONS,MARIJUANA
UPCS,HERION
FEL VEHICLE PROWL,2ND
PROBAT HLD,ATTEMPTED ASLT 3
PROBAT HLD,BBS
HOLD COMM CUSTODY,UNL POSS AMMO
THEFT 2,`
UPCS,DANGEROUS DRUGS
CRIM TRESP,IST
CRIM MISCHIEF WITH A DEADLY WEAPON,
HIT/RUN UNATT,PROPERTY
CRIM ASLT /DV,4TH
THEFT 3,ATTEMPT
FUGITIVE,UPCS W/INTENT
RAPE 1,ATTEMPTED
HARASS  /DV,BODILY HARM
FUGITIVE,KIDNAP 1
COMM CUSTODY JAIL,VUSCA- CANNABIS
PROBAT HLD,UPCS/TRESPASS
COMM CUSTODY JAIL,PRT ORD VIOL
COMM CUSTODY JAIL,2X DV COURT ORDER V
THEFT 3RD,ATTEMPTED
HOLD US MARSHAL,UPCS / INTENT
UNL POSS FIREARM 1,DV
COMM CUSTODY JAIL,"UPCS, IDENT THFT 2"
PUB INDECENCY,
COMM CUSTODY JAIL,ASLT/DV
NVOL,WO ID
FEL POSS F/A 2,
PSP,3RD
RAPE 3,DV
COMM CUSTODY JAIL,CCP
DESTROY VEH - FL SURR TITLE,
JUVENILE PAROLE HLD,CHILD MOLEST 1
FUGITIVE,THEFT OF FIREARM
ASLT 3,ATTEMPTED
UNL POSS FIREARM 2,FELON IN POSSESSION OF FIRE ARM
IDENT THFT 2,FTA O/H
PROBAT HLD,UPCS/UUDP
WILLFULLY KILL/BE CRUEL TO ANIMALS,
KIDNAPPING 2,DV
PROBAT HLD,MAL MISC 3
COMM CUSTODY JAIL,ATTEMPT ROB 1
BURGLARY 2,DV
HARASS  /DV,THREATS
DEFR INNKPR,
OBSTRUCT /DV,
PROBAT HLD,"BURG 2, THEFT 2"
UNLAW DEL CS,ATTEMPTED
ASLT 1,W/FASE
COMM CUSTODY JAIL,PROT ORDER/VIO
ASLT 3,LAW ENFORCEMENT
PROBAT HLD,PSP2
PROBAT HLD,CHILD MOLESTATION I
FELONY DUI,W /PRIORS
ASLT 3,DV
PROBAT HLD,ASLT 3/IND EXPOSURE
COMM CUSTODY JAIL,UPCS (2 CTS)
COMM CUSTODY JAIL,IDN THFT 2/UN POS P/I
FALSE/FLIPPING PLATE,
CRIM MISTREAT 1,
THEFT 3RD,THEFT OF SERVICES
PROBAT HLD,BURG 1
PROBAT HLD,TRAFFIC STN PROP 2
PROBAT HLD,ID THEFT 1
UPCS,COCAINE
HOLD REMANN HALL,BURG 2
COMM CUSTODY JAIL,VEHICLE PROWL 2
ASLT 3,FTA SENTENCING
PROBAT HLD,ASLT4/WEAPONS
PROBAT HLD,ASLT 4/THEFT 3
DISO PERS/CONDUCT,BBS
COMM CUSTODY JAIL,RETAIL THEFT/UPCS
PROBAT HLD,TMVWOP/UPCS
RES BURGLARY,ATTEMP
COMM CUSTODY JAIL,THFT 2
URINATE IN PUBLIC,
PROBAT HLD,UPSV
PROBAT HLD,TRAF STLN PROP 1
PROBAT HLD,UPSV/UPCS/DWLS
COMM CUSTODY JAIL,FTR SEX OFFENDER
COMM CUSTODY JAIL,ID THFT 2
FUGITIVE,ASLT/CRIM MISTREAT
COMM CUSTODY JAIL,RETAIL THEFT 3
NEG DRIVING,1STDEGREE
MAL MISCH 3,PHYSICAL DAMAGE
DWLS/R 1ST/2ND,BBS
HIT/RUN UNATT,BBS
CRIM TRESP 2,DV
SOL OCCUPANT OF VEH PUB ROAD,
PROMOTING SEXUAL ABUSE OF A MINOR,
VIO PROT OR /DV,SEXUAL ASSUALT
VIO PROT OR /DV,SEXUAL ASSAULT
PROBAT HLD,SSOSA VIOLATION
COMM CUSTODY JAIL,TRAF STOL PROPR 2
UMCS,METH
DRUG PARA,GLASS PIPE
PROBAT HLD,TRAF IN STOL PROP
FALSE STATEMENT TO PUB SERVANT,BBS
DRUG PARA,BBS
FUGITIVE,THEFT 1
CRIMINAL CONSPIRACY,ROB
ROBBERY 1,SOLICITATION
ENTRY ERROR,"UPCS, IDENT THEFT 2N"
COMM CUSTODY JAIL,BAIL JUMP; UPCS
HOLD US MARSHAL,UPCS
OPERATE VEH W/O IGN INTERLOCK DEV,BBS
THEFT W/INTENT RESELL 1,
CRIM MISTREAT 4,D.V
COMM CUSTODY JAIL,2 CNTS ARSON 2
ILL DRUG COND/PARA,PARAPHERNALIA
COMM CUSTODY JAIL,HIT AND RUN INJURY
VIO NC ORD /DV,BBS
PROBAT HLD,CRIM TRES/BAIL JUMP
ATT MURDER 1,DV
COMM CUSTODY JAIL,RECK BURN 1
CHILD UNATT IN VEH/LIQ EST,
UPCS,CRACK COCAINE
UPCS,CONT SUBS NO PRESCI
PROBAT HLD,TMVWOP2
UPCS,STOLEN VEH/VUCSA
THEFT 3,ATTEMP
PROBAT HLD,DESTRUCTION OF PRO
FUGITIVE,DUI
COMPLICITY-AID/ABET,
COMM CUSTODY JAIL,UPCS/W INTENT
FUGITIVE,ROB/KIDNAP
COMM CUSTODY JAIL,INTIM WITNESS
TRAFFICKING STOL PROP 1,BBS
FEL PUR/ELUDE,BBS
HOLD US MARSHAL,DEA ARREST
CRIMINAL ASSAULT-DV,
SOL OCCUPANTS OF VEH PUB ROAD,
POSSESS STOLEN VEHICLE,ATTEMPTED
DWI,DRUGS
COMM CUSTODY JAIL,CUST ASLT/ VPO
COMM CUSTODY JAIL,ASTL 3 /DV
COMM CUSTODY JAIL,ASLT CHILD 3/UPCS
PROBAT HLD,ASLT 4/DV MM 3/DV
COMM CUSTODY JAIL,"IDENT THFT 2, UPCS, P"
FAILURE TO OBEY FLAGMAN,
VIO NC ORD /DV,`
ASLT 3,ATTEMPT
RES BURGLARY,FTA PLEA
COMM CUSTODY JAIL,UPCS /ASLT 3
COMM CUSTODY JAIL,ATT POSS OF CS
COMM CUSTODY JAIL,IDENT. THEFT/PSP2
THEFT OF MV,DRUIG COURT
MAL MISCH 3,DRUG COURT
STATUTORY RAPE 3,
COMM CUSTODY JAIL,ID THFT/UPCS
UPCS (MJ) PERS,
COMM CUSTODY JAIL,COMM W/MIN FOR IP
COMM CUSTODY JAIL,DRIVE BY SHOOTING
COMM CUSTODY JAIL,BURG 2 X3
TAMP WITNESS,DV
ATT INT CONTRABAND,
ALTER ID MARKS ON FIREARM,
FAIL TO STOP AND GIVE INFO,BBS
OBSTR PUB SERV,BBS
COMM CUSTODY JAIL,VIOL PROT ORDER
CRIM TRESP,UNLAWFUL CAMPING
PROBAT HLD,SOL UPCS
COMM CUSTODY JAIL,"UPCS, UPCS BY I/M"
UNL POSS FIREARM 1,MACHINE GUN
DWI,MINOR
SOLICIT DEL CONTR SUB,
FTR ACC (PROP),BBS
FORGERY,BBS
MALICIOUS HARASSMENT,DV
MAL MISCH 3,VANDALISM
COMM CUSTODY JAIL,UPOFA 2ND
Direct Dog to Harass/Attack Pub. Off,
FUGITIVE,SEX OFFENDER REG.
PROBAT HLD,"ATT ASLT 3 X2 , MM2"
POSS OF EXPLOSIVES W/O LICENSE,
FUGITIVE,DUI W/CHILD
FUGITIVE,BURG.
ASLT 3,ATEMPTED
COMM CUSTODY JAIL,DV/ID THEFT
DESTRUCTION OF PROPERTY,
THEFT 3RD,FTA
DWLS/DWLR,BAINBRIDGE ISLAND
COMM CUSTODY JAIL,THFT
PROBAT HLD,TMV / H&R
COMM CUSTODY JAIL,ASTL3 WEAPONS
COMM CUSTODY JAIL,ID THEFT 2ND
SEXUAL MISC W/A MINOR 2,
IDENT THFT 2,DRG CT
FAIL TO SECURE LOAD,
UMCS,CONSPIRACY
PROBAT HLD,FTR
COMM CUSTODY JAIL,ROBBERY 2ND/ASLT 2
FUGITIVE,MERCED CALIF
COMM CUSTODY JAIL,IDENT THEFT 2ND
FELONY DUI,PREVIOUS VEH HOMO
PROBAT HLD,MAL MISCH 3RD
COMM CUSTODY JAIL,ASLT 1
FUGITIVE,ASLT W/FIREARM
MURDER 1,ATTEMPTED
VOYEURISM -1 (C),1ST DEGREE
KIDNAPPING 1,DV
COMM CUSTODY JAIL,BURGLARY 1
COMM CUSTODY JAIL,POSS STOL VEH/UPCS
VIO NC ORD /DV,VIO #D00048818
UMCS,HEROIN
FEL HARASS (NON DV),W/THREATS TO KILL
CRIM MISCHIEF WITH A DEADLY WEAPON,DV
REC/POSSESS STOLEN PROP,
COMM CUSTODY JAIL,"ASLT 3, RESISTING"
FORGERY,CHECK FRAUD
ROBBERY 1,ARMED
THEFT OF MV,2ND
COMM CUSTODY JAIL,ATMP ARSON 2
FEL PUR/ELUDE,ATMPT
ROBBERY 2,ATT
POSSESS STOLEN VEHICLE,FTA PLEA
RECKLESS BURNING  2ND DEGREE,
UPCS W INTENT,W/FASE
WEAPONS POSS- PRISONER CO/LOC INST,
UPCS,CRACK COCAIN
ASLT 3,ATTEMP
COMM CUSTODY JAIL,POSS STOLEN VEHICLE
FUGITIVE,RAPE 1
VIO NC ORD /DV,PRETRIAL
COMM CUSTODY JAIL,IDTHEFT/UPCS
TAMPERING W/ IGN. INTERLOCK DEVICE,
COMM CUSTODY JAIL,PO VIOL
PROBAT HLD,BAIL JUMP ASLT 4
DWLS/DWLR,3D
ANTI-HARASSMENT ORDER,CIVIL
COMM CUSTODY JAIL,ASLT 2 W/DDLY WPN
WEAPONS POSS-PRISONER STATE INST,
COMM CUSTODY JAIL,UPSV
THEFT 2,FTA PTC
COMM CUSTODY JAIL,ROB 2 / ASLT 2
IDENT THFT 2,TMVWOP/ID THEFT 2
COMM CUSTODY JAIL,ATT UPCS;UPCS
COMM CUSTODY JAIL,"RES BURG, UPCS"
THFT OF FIREARM (B),BBS
OBSTR PO,BBS
BURGLARY 1,BBS
DISCLOSING INTIMATE IMAGES,
CYBERSTALKING,DV
ABANDONMENT DEPENDENT PERSON 3,
COMM CUSTODY JAIL,ASLT CHILD 2
DWLS/DWLR,1ST DEG
UNL POS ID CARD,
COMM CUSTODY JAIL,PSP 2
FUGITIVE,POSS METH
UNLAW DEL CS,ATTEMPT
RECK ENDAN /DV,EXPOSE MINOR TO DV
DUI WITH PRIOR CONVICTION,BOAT LAUNCH
COMM CUSTODY JAIL,ATT ELUDE
PROBAT HLD,ATT ELUDE/DUI
ROBBERY 1,W/DWSE
HOLD US MARSHAL,POSS OF WEAPON
MAL MISCH 3,DESTRUCT OF PROP
ASLT CHILD 3RD,D/V
ASLT 4,W/ SEXUAL MOTIVATIO
BURGLARY 2,FTA PTC
COMM CUSTODY JAIL,CHILD MOLEST X2
UPCS W INTENT,SW
PROBAT HLD,ID THEFT 2/PSP 2
THEFT 2,ATT
ANIMAL CRUELTY SECOND DEGREE,
BAIL JUMP,BBS
POSSESS STOLEN VEHICLE,BBS
VEHICLE PROWL 2ND,DRUG COURT
POSS LEG. DRUG/PROHIBITED ACT,W/O PRESCRIPTION
HOLD WSH,
PROBAT HLD,CRIM TRESPASS 1
FEL HARASS (NON DV),MAL
FUGITIVE,DUI/ASSAULT
COMM CUSTODY JAIL,THEFT/FORGERY
UPCS (MJ) NON,
UPCS W INTENT,COCAINE
DISTRIBUTE CHILD PORN,
MAL MISCH 2 / DV,2ND
MAIL THEFT,DRUG COURT
COMM CUSTODY JAIL,RAPE OF A CHILD 1
PROBAT HLD,CHILD RAPE 2/DVX2
COMM CUSTODY JAIL,"UPCS, BAIL JUMP"
JUVENILE PAROLE HLD,HARASSMENT/THREAT
NON-SUPPORT,FTA
CRIMINAL ASLT,ASSAULT 4
COMM CUSTODY JAIL,ASSAULT 4
COMM CUSTODY JAIL,UPCS/ATT UPCS
REND CRIM ASSIST 2,
MIN OPER VEH/ALC CONS,DUI UNDER 21
COMM CUSTODY JAIL,PROT ORD VIO
UPCS,COCAINE & PILLS
FUGITIVE,AGG BTRY CHILD
COMM CUSTODY JAIL,UPCS/ATTEMPTED
COMM CUSTODY JAIL,PROM PROST
UPCS,FTA PRE-TRIAL
PUB NUIS,
OBSTR. PED./TRAFFIC,
UPCS,ATTEMP
COMM CUSTODY JAIL,EXTORTION
UMCS,MARIJUANA
PROBAT HLD,UNL POSS STOL VEH
FTR ACC (PROP),UNATTENDED
PROBAT HLD,UNL TRANS COND
PROBAT HLD,ATT UPCS
OPER BOAT WHILE INTOXICATED,
ASLT 3,ATT
FUGITIVE,LARCENY
VUCSA CONSPIRACY,METH
RECK ENDANGER,W/ CHILD
FEL DV CRT ORD VIO,POST SENT
PROBAT HLD,TRESPASS 1ST
COMM CUSTODY JAIL,FORGERY
THEFT 2,ATTEMPTED
COMM CUSTODY JAIL,ASSAULT 3RD
FEL DV CRT ORD VIO,FTA OMNIBUS HRG
COMM CUSTODY JAIL,ESCAPE/UPCS-METH
ARSON 2,DV
DWLS/DWLR,`
PROBAT HLD,DRUG COURT
COMM CUSTODY JAIL,UPCS/JEFFERSON CO
FOOD STAMPS-TRAFFICKING,`
FUGITIVE,UDCS
ASSAULT 4 /DV,SEXUAL MOTIVATION
LURING,ATT
CRIM TRESP,1
COMM CUSTODY JAIL,CRIM MISC W/DW
HOLD COMM CUSTODY,ASLT 3
PROBAT HLD,USCS
FOOD STAMPS-TRAFFICKING,
DRUG PARA,USE OF DRUG PARAPH
TMVWOP 2,DV
POSSESS STOLEN VEHICLE,FTA RETURN DATE
VIO ORDER RESTRICTING CONTACT,
ARSON 1,DV
COMM CUSTODY JAIL,THEFT OF MV
UPCS,MARIJUANA
COMM CUSTODY JAIL,CM 2
PEDDLING/SOLICIT W/O LICENSE,
HOLD REMANN HALL,ROBBERY 1 ATTEMPT
FEL VEHICLE PROWL,DV
MAKE POSSESS MTR VEH THFT TOOLS,BBS
MTR VEH TRANSFER OF OWNERSHIP VIOL,BBS
COMM CUSTODY JAIL,IDEN THFT 2/UPCS
POSS INCENDIARY DEV,MALICIOUS PLACEMT
CRIM ASLT /DV,BBS
THEFT 3,DRG CRT
UPCS,SYNTHETIC CANNABOI
PROBAT HLD,ASLT4/RECK DRIV/DW
PEDESTRIAN INTERF,
COMM CUSTODY JAIL,MV THEFT
INVOLV MINOR IN CS TRANSACTION,
HOLD REMANN HALL,ASSLT 4 / MAL MISCH 3
HOLD REMANN HALL,UPOF 2
PROBAT HLD,UPCS/DRUG PARA
COMM CUSTODY JAIL,FIREARMS
COMM CUSTODY JAIL,ASLT 2ND
TAMPERING WITH FIRE ALARM,
PROBAT HLD,REVOCATION HRG
INTIM FIREARM,
HIT/RUN PED,
BURGLARY 2,BURG 2 MAL MISCH 2
PROBAT HLD,ASLT 4/DUI
CUST ASLT,ATTEMPTED
NON-SUPPORT,WSSR
FIREARM SALE/TRANSFER VIOLATION,
ORGANIZED RETAIL THEFT 2 ND,DRUG COURT
PED/VEH OBS TRAFFIC,
PROBAT HLD,ATT TMVWOP/UPCS
"FEL HARASS-DV, DV-THREATS/DEATH THRT",DV
VIOL DISTRUB CS TO MINOR UNDER 18,FTA MOTION
OBSTR PUB SERV,FALSE STATEMENT
COMM CUSTODY JAIL,ID THEFT 2 X2
FIREWORKS PROHIBITED,
UPCS,65 GRAMS MARIJUANA
THEFT 3RD,DRUG COURT
PROBAT HLD,TRAFF STOL PROP 1
NEG DRIVING,1ST DEG
INDECENT LIBERTIES,
BUY/SELL VEH W/ALT SERIAL NUMBER,
COMM CUSTODY JAIL,RETAIL THEFT
THEFT 1,DRUG COURT
ESCAPE 2,DRUG COURT
VIO NC ORD /DV,POST SENTENCED
PROBAT HLD,"UPCS, THEFT 3"
COMM CUSTODY JAIL,ASSUALT
CRIM TRESP /DV,2ND
PROBAT HLD,ATT UPCS/ASLT 4
HARASSMENT-THREATEN BODILY INJURY,DV
EXTOR 1,DV
COMM CUSTODY JAIL,ASLT 2/ ROB 2
TRAFFICKING STOL PROP 1,FTA ARRAIGNMENT
THEFT 2,1 ATT
THEFT 1,ATTEMPT
VIOL FOREIGN PROT ORD,DV
PROBAT HLD,ESCAPE 1
COMM CUSTODY JAIL,ASSLT 2/ASSLT 4
BURGLARY 2,FTA PLEA DATE
COMM CUSTODY JAIL,ID THEFT/FORG
FALSE FIRE ALARM,
COMM CUSTODY JAIL,CMWAWDW
HOLD US MARSHAL,DUI
PUB DIST/NOISE,
COMM CUSTODY JAIL,DOM VIOL VIO
COMM CUSTODY JAIL,UMCS
PSP 2,ATTEMPTED
