booking_charge_desc,booking_charge_txt
FEL PUR/ELUDE,ATTEMPTING
COMM CUSTODY JAIL,ASSLT 2
ASLT/DV,
INTERF W/REPORT / DV,
DRIVE BY SHOOTING,
SOL PROST,
NARCOTICS - CONTR SUB,
CIVIL CNTMPT OF CRT,
ESCAPE COMMUNITY CUSTODY,
ESCAPE 2,
MAL MISCH 2 / DV,
EXPOSE MINOR TO DV,
IND COND/EXPOS,
HOLD MISC,IDAHO
POSS UNLAWFUL FIREARM,
ESCAPE 3,
COMM CUSTODY JAIL,ROBBERY 2
NEG DRIVING,
PROBAT HLD,VUSCA
THREAT BODILY INJ/DV,
FUGITIVE,
BURGLARY 1,
POSSESS STOLEN VEHICLE,DV
HARASSMENT /DV,
COMM CUSTODY JAIL,ROBBERY 1ST CONSP
DWLS/R 1ST/2ND,1ST DEGREE
POSSESSION OF DANGEROUS WEAPON,
UIBC,
FUGITIVE,UPCS
UMCS,
ALT ID MARKS,
UPCS,HEROIN
DISPLAY WEAPON,
RECK. ENDANG / DV,
AIM/DISCHARGE FIREARM,
VEH HOMICIDE,
CRIM MISTREAT 2,
VIOL DISTRUB CS TO MINOR UNDER 18,
ASLT CHILD 2ND,
MAIL THEFT,
COMM CUSTODY JAIL,BURG 2ND
TAMP WITNESS,
ASLT/VIO NC ORDER,
FUGITIVE,FTA RETURN DATE
COMMSEXABUSEMINOR,
HUMAN TRAFFICKING 1,
PROM PROST 1,
HOLD IMMIGRAT,
OPER VEH W/O IGNITION INTERLOCK DEV,
UNL SOL TO POSS CONT SUB,
URINATING IN PUBLIC,
DWLS/R 1ST/2ND,3RD
HARASS-THREAT PROP DAMAGE,
COMM CUSTODY JAIL,ATT UPCS
PROBAT HLD,DOSA
FAIL REGIS S/O,THIRD OFFENSE
PROST,
PETTY THEFT /DV,
IND COND EXPOS,
ASLT CHILD 3RD,
COMM CUSTODY JAIL,ID THEFT 2
LOITER FOR PROSTITUTION,
VUCSA CONSPIRACY,
CRIM TRESP,2ND
NARCOTICS - CONTR SUB,MARIJUANA
FALSE RPT,
DWLS/DWLR,2ND
INTIM PUB SERV,
VEH OPR-REFUSE COMPLY POLICE,
RETAIL THFT W/EXT CIRCUMSTANCES 2,
COMM CUSTODY JAIL,BURG 2
SODA VIOL,
CIVIL DRG CRT VIOL,
PSP,BBS
THEFT 3RD,BBS
KIDNAPPING 2,
DESTRUCTION OF EVIDENCE,
DEST PROPERTY,
DWI,BBS
CRIM TRESP 1 /DV,
VEHICLE PROWL 2ND,
INTIM WITNESS,
COUNTERFEITING,
LOADED GUN IN VEHICLE,
CHILD MOLEST 2,
MINOR POSS LIQ,
BUNCO,
COMM CUSTODY JAIL,DV NCO
ASLT/DV STRANGULATION,
DWLS/DWLR,2ND DEGREE
POSS BURG TOOLS,
COMM CUSTODY JAIL,UCPS
STALKING,
PROBAT HLD,UPCS/THEFT 3
COMM CUSTODY JAIL,VIOL NCO DV
POSS LGND DRUG-NO PRESCRIPTION,
MAL HARASSMENT,
UNLAW IMPRISON,
COMM CUSTODY JAIL,UPCS/ID THEFT 2
ASLT/DV,4TH DEG
HIT/RUN UNATT,
PROBAT HLD,"CRIM TRESP, NC VIOL"
UPCS,FTA PLEA
ASLT 2 -DV,ATTEMPTED
VIO NC ORD /DV,FTC
THEFT 1,BY WELFARE FRAUD
POSS DANGEROUS WPN,
FEL PUR/ELUDE,ATT
HOLD US MARSHAL,
COMM CUSTODY JAIL,ASSAULT 3
FINANCIAL FRAUD-UNL POSS PROD/INST,
HIT/RUN ATTND-DAMAGE ONLY,
ASLT POL DOG,HARM POLICE DOG
COMM CUSTODY JAIL,ASLT 2/DEADLY WPN
CRIMINAL SOLICITATION,
POSSESS CNTRL SUBS-PENALTY,
INTERF PO,911 CALL
ALIEN IN POSSESSION OF FIREARM,
ANIMAL CRUELTY 2,
RES BURGLARY,FTA O/H
COMM CUSTODY JAIL,THEFT 1
COMM CUSTODY JAIL,ASSAULT 2
VIO. PROT. ORD - NON-DV,
ATT UNL IMPRIS/DV,
MURDER 1,
REND CRIM ASST 1,
PRESC FORGERY,
COMM CUSTODY JAIL,UPCS / IDENT THEFT 2
LPDA,
OBSTR PO /DV,
ASLT CHILD 1ST,
COMM CUSTODY JAIL,UPCS W/INT
IDENT THEFT  2,
REFUSE INFO,
FAIL YLD EMERG VEH,
PROBAT HLD,SSOSA
THEFT OF MV,BBS
MIN OPER VEH/ALC CONS,
ORGANIZED RETAIL THEFT 1,
COMM CUSTODY JAIL,"UPCS, ID-THEFT 1"
JUVENILE PAROLE HLD,
FAIL REGIS S/O,3RD OFFENSE
DWI,FTA
OBTAIN CS BY FRAUD,DRUG COURT FTA
CHILD MOLEST 1,
LEGEND DRUG- POSS NO PRESC,
LITTERING,
DWLS/R 1ST/2ND,ALL CITY BBS
HARASSMENT,
PROBAT HLD,ASLT 4/DV
CHILD MOLEST 1,ATTEMPTED
POSSESS PISTOL BY PERS AGE 18 T0 21,
RECK ENDANGERMENT,
OFFERING FALSE INSTRUMENT,
THEFT 3,DRUG COURT
BURGLARY 2,DRUG COURT
CUST ASLT,
RES BURGLARY,DV
GRAFFITI POSSESS WITH INTENT,
GRAFFITI VANDALISM,
COMM CUSTODY JAIL,UPCS ATT
FIGHT IN PUB,
WEAPONS-UNL CARRY/SELL,
COMM CUSTODY JAIL,EXTORTION 2
FEL PUR/ELUDE,ATTEMPT
VIO NO CONTACT ORDER,
VOYEURISM -1 (C),
FAILURE TO INITIALLY REGISTER VEHICLE,
INTIM WEAPON,
ROBBERY 1,ATT
NEG DRIVING,1ST DEGREE
RESIST ARR /DV,
POSSESS DRUG PARAPHERNALIA,
WEAPONS-UNL CARRY/SELL,POSS DANGER WEAPO
