booking_charge_desc,seriousness,category,type,notes,src,,,,,
CARRY CONCEALED WPN W/O PERMIT,,civil infraction,public order,?,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
CARRYDANGWPNKNIFE,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.250,,,,,
CARRYING A FIREARM - NO PERMIT,,civil infraction,public order,?,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
CCW W/O PERMIT,,civil infraction,public order,?,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
CCW,,civil infraction,public order,?,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
CHILD MOLEST 1,,class A felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.083,,,,,
CHILD MOLEST 2,,class B felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.086,,,,,
CHILD MOLEST 3,,class C felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.089,,,,,
CHILD RAPE 1,,class A felony,sex,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.44.073.,,,,,
CHILD RAPE 2,,class A felony,sex,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.44.076,,,,,
CHILD RAPE 3,,class C felony,sex,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.44.079,,,,,
CIVIL CNTMPT OF CRT,,misdemeanor,public order,up to judge,http://apps.leg.wa.gov/RCW/default.aspx?cite=7.21&full=true,,,,,
CIVIL DRG CRT VIOL,,misdemeanor,public order,?,,,,,,
CIVIL FAMILY COURT,,misdemeanor,public order,?,,,,,,
COERCION,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.070,,,,,
COM. W/MINOR FOR IMMORAL PURPOSE,,gross misdemeanor,sex,can be felony if previous sexual offender,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090,,,,,
COMM CUSTODY JAIL,,other,other,other?,,,,,,
COMM LIC REQUIRED,,other,public order,fine?,http://app.leg.wa.gov/RCW/default.aspx?cite=19.28.131,,,,,
COMM MINOR IMM,,gross misdemeanor,sex,can be felony if previous sexual offender,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090,,,,,
COMM W/MINOR FOR IMMORAL PURPOSE,,gross misdemeanor,sex,can be felony if previous sexual offender,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090,,,,,
COMMSEXABUSEMINOR,,class B felony,sex,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.100,,,,,
COMPLICITY-AID/ABET,,other,other,may depend on crime being aided?,http://apps.leg.wa.gov/wac/default.aspx?cite=137-25-030,,,,,
CONFINE AND IDENT. DANGEROUS DOG,,gross misdemeanor,public order,?,http://app.leg.wa.gov/RCW/default.aspx?cite=16.08.100,,,,,
CONSP COM MURDER,,class A felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
CONSP DEL CS,,other,drug,felony,,,,,,
CONTEMPT - TRUANCY CRT ORD,,misdemeanor,public order,?,,,,,,
CONTEMPT OF COURT,,misdemeanor,public order,fines,http://app.leg.wa.gov/rcw/default.aspx?cite=7.21&full=true,,,,,
CONTEMPT-TRUANCY CRT ORDER,,misdemeanor,public order,?,,,,,,
CONTRIB DELIQUENCY MINOR,,misdemeanor,public order,"? misdemeanor in Grandview, WA: http://www.codepublishing.com/WA/Grandview/html/Grandview09/Grandview0932.html",,,,,,
CONTROLLED SUBSTANCES HOMICIDE,,class B felony,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.415,,,,,
COUNTERFEITING,,misdemeanor,property,can be gross misdemeanor or class C felony,https://app.leg.wa.gov/rcw/default.aspx?cite=9.16.035,,,,,
COURT ORDER VIOLATION,,misdemeanor,public order,?,,,,,,
CRIM ASLT /DV,,class C felony,violent,based on assult in 4th degree + dv,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.041,,,,,
CRIM CONSPIRACY,,other,other,depends on nature of crime,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040,,,,,
CRIM IMPERSON 1,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.040,,,,,
CRIM IMPERSON 2,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.045,,,,,
CRIM MISCHIEF WITH A DEADLY WEAPON,,class C felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.010,,,,,
CRIM MISTREAT 1,,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.020,,,,,
CRIM MISTREAT 2,,class C felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.030,,,,,
CRIM MISTREAT 3,,gross misdemeanor,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.035,,,,,
CRIM MISTREAT 4,,misdemeanor,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.037,,,,,
CRIM TRESP /DV,,gross misdemeanor,property,,,,,,,
CRIM TRESP 1 /DV,,gross misdemeanor,property,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070,,,,,
CRIM TRESP 1,,gross misdemeanor,property,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070,,,,,
CRIM TRESP 2,,misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080,,,,,
CRIM TRESP,,gross misdemeanor,property,,,,,,,
CRIM TRSP 1 /DV,,gross misdemeanor,property,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070,,,,,
CRIM TRSP 2 /DV,,misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080,,,,,
CRIMINAL ASLT,,gross misdemeanor,violent,not sure what to do with these general versions of other crimes,,,,,,
CRIMINAL ASSAULT-DV,,class C felony,violent,not sure what to do with these general versions of other crimes,,,,,,
