booking_charge_desc,seriousness,category,type,notes,src,,,,,
ILL DRUG COND/PARA,,civil infraction,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4121,,,,,
ILL DRUG CONDUCT,,civil infraction,drug,,,,,,,
ILLEGAL DEPOSIT OF SOLID WASTE(SIP),,misdemeanor,public order,considered civil infraction is waste is between 1ft^3 and 1yd^3,http://app.leg.wa.gov/rcw/default.aspx?cite=70.95.240,,,,,
ILLEGALLY OBTAIN DISABLED PLACARD,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.19.050,,,,,
IM UPCS W INT,,class B/C felony,drug,class of felony depends on schedule of the drug,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
IMPERSONATE P/O,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.60.045,,,,,
IMPROPERLY OBTAIN FINANCIAL INFO,,class C felony,public order,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.35.010,,,,,
INCEST 1,,class B felony,sex,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.64.020.,,,,,
INCEST 2,,class C felony,sex,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.64.020.,,,,,
IND COND EXPOS,,misdemeanor,sex,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
IND COND/EXPOS TO PER <14,,gross misdemeanor,sex,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
IND COND/EXPOS,,misdemeanor,sex,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
IND LIB,,class B felony,sex,,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44.100,,,,,
INDECENT EXPOSURE,,misdemeanor,sex,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010,,,,,
INDECENT LIBERTIES,,class B felony,sex,,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44.100,,,,,
INTERF PO,,gross misdemeanor,public order,,,,,,,
INTERF W/REPORT / DV,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.150,,,,,
INTERFER. W/HEALTH CARE FACILITY,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030,,,,,
INTERFERE W/ RPT /DV,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.150,,,,,
INTERFERE W/HEALTH CARE FAC,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030,,,,,
INTERFERE WITH HEALTH CARE FACILITY,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030,,,,,
INTIM FIREARM,,gross misdemeanor,violent,,http://www.codepublishing.com/WA/Everett/html/Everett10/Everett1078.html#10.78.020,,,,,
INTIM JUDGE (B),,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.160,,,,,
INTIM PUB SER,,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.180,,,,,
INTIM PUB SERV,,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.180,,,,,
INTIM W/ A WEAPON,,gross misdemeanor,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
INTIM W/WPN /DV,,gross misdemeanor,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
INTIM WEAPON,,gross misdemeanor,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
INTIM WITNESS,,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.110,,,,,
INTIM WPN /DV,,gross misdemeanor,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280,,,,,
INTRO CONTRA 1,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.140,,,,,
INTRO CONTRA 2,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.150,,,,,
INTRO CONTRA 3,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.160,,,,,
INVOLV MINOR IN CS TRANSACTION,,class C felony,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4015,,,,,
JUVENILE PAROLE HLD,,other,other,,,,,,,
KIDNAPPING 1,,class A felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.020,,,,,
KIDNAPPING 2,,class B felony,violent,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.030,,,,,
LEADING ORGANIZED CRIME/ORG/MANAGE,,class A felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.060,,,,,
LEAVE CHLD UNATT/CAR,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.685,,,,,
LEGEND DRUG- POSS NO PRESC,,misdemeanor,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
LITTERING GREATER THAN 1 CU. FT.,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=70.93.060,,,,,
LITTERING,,civil infraction,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=70.93.060,,,,,
LOADED GUN IN VEHICLE,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=77.15.460,,,,,
LOADED PISTOL IN VEH.,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050,,,,,
LOITER FOR PROSTITUTION,,misdemeanor,public order,referenced as an offense but can't find specific charge. would assume its misdemeanor like prostitution charge,http://app.leg.wa.gov/RCW/default.aspx?cite=13.40.213,,,,,
LPDA,,,other,no idea what this stands for ,,,,,,
LURING,,class C felony,violent ,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.40.090,,,,,
MAIL THEFT,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.370,,,,,
MAKE POSSESS MTR VEH THFT TOOLS,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
MAKING/POSS OF AUTO THEFT TOOLS,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
MAL HARASS /DV,,class C felony,violent ,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080,,,,,
MAL HARASSMENT,,class C felony,violent ,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080,,,,,
MAL MISC 3 /DV,,gross misdemeanor,property,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
MAL MISC 3/DV,,gross misdemeanor,property,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
MAL MISCH 1,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.070,,,,,
MAL MISCH 2 / DV,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.080,,,,,
MAL MISCH 2,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.080,,,,,
MAL MISCH 3 /DV,,gross misdemeanor,property,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
MAL MISCH 3,,gross misdemeanor,property,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2b%20DV,,,,,
MAL MISCH,,class B felony,property,see above degrees for information ,,,,,,
MAL PLACEMENT OF EXPLOSIVES,,class A/B felony,violent ,felony class depends on degree of charge ,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.270,,,,,
MALICIOUS HARASSMENT,,class C felony,violent ,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080,,,,,
MANSLAUGHTER 1,,class A felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.32.060,,,,,
MANSLAUGHTER 2,,class B felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.32.060,,,,,
MATERIAL WITNESS - MISD,,other,other,,,,,,,
MIN OPER VEH/ALC CONS,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
MINOR EXHIBITING EFFECTS OF ALCOHOL,,gross misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
MINOR IN POSSESSION IN PUBLIC,,gross misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
MINOR IN POSSESSION OF PISTOL,,misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.060,,,,,
MINOR INTOX IN PUB,,gross misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
MINOR OP VEH/ALC CONS,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
MINOR OPER VEH AFTER ALCOHOL CONS,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
MINOR POSS LIQ,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
MINOR REMAIN PUB PLACE/CONS LIQ,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503,,,,,
MORTGAGE FRAUD,,class B felony,property,"considered a ""serious level III offense""",https://app.leg.wa.gov/rcw/default.aspx?cite=19.144.090,,,,,
MTR VEH TRANSFER OF OWNERSHIP VIOL,,misdemeanor,property,I think it might be a class C felony based on the RCW but the charge name is so broad its hard to tell if it fits,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.750,,,,,
MURDER 1,,class A felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.32.030,,,,,
MURDER 2,,class A felony,violent,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.32.050,,,,,
NARCOTICS - CONTR SUB,,,drug,anything other than MJ = B/C felony,,,,,,
NEG DRIVING 1ST,,misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.5249,,,,,
NEG DRIVING,,misdemeanor,public order,can range from civil infraction to misdemeanor if its 1st or 2nd degree,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.525,,,,,
NON-SUPPORT,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=26.20.035,,,,,
NVOL W/O ID,,misdemeanor,public order,?,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
NVOL WITHOUT ID,,misdemeanor,public order,?,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
NVOL,,misdemeanor,public order,?,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
OBSTR PO /DV,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.020,,,,,
OBSTR PO,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.020,,,,,
OBSTR PUB SERV,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.46.195,,,,,
OBSTR-FALSE CHRG/STATEMENTS,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.175,,,,,
OBSTR. PED./TRAFFIC,,misdemeanor,public order,,,,,,,
OBSTRUCT /DV,,misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005,,,,,
OBTAIN CS BY FRAUD,,class C felony,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.403,,,,,
OFFERING FALSE INSTRUMENT,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=40.16.030,,,,,
OPEN ALCOHOLIC CONTAINER,,civil infraction,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.519,,,,,
OPER VEH W/O IGNITION INTERLOCK DEV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
OPER VEH W/O VAL CERT OF OWNER,,misdemeanor,public order,its illegal but charge not specified,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.520,,,,,
OPER VEH. W/O IGNITION INTERLOCK,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
OPERATE VEH W/O IGN INTERLOCK DEV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.740,,,,,
ORGANIZED RETAIL THEFT 1,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.350,,,,,
ORGANIZED RETAIL THEFT 2 ND,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.350,,,,,
PED/VEH OBS TRAFFIC,,misdemeanor,public order,illegal but charge not specified,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.570,,,,,
PEDDLING/SOLICT W/O LICENSE,,misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=36.71.060,,,,,
PEDESTRIAN INTERF,,misdemeanor,public order,Oddly anti-homeless?Seems to be a Seattle ordinance ,http://www.codepublishing.com/WA/UniversityPlace/html/UniversityPlace09/UniversityPlace0955.html,,,,,
PERJURY,,class B/C felony,public order,class of felony depends on 1/2nd degree,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.72.020,,,,,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.72.030
PETTY THEFT /DV,,misdemeanor,property,"theft in 3rd degree is considered ""petty theft"" according to the internet",http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
PETTY THEFT,,misdemeanor,property,"theft in 3rd degree is considered ""petty theft"" according to the internet",http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050,,,,,
PHON HARASS /DV,,class C felony,public order,"RCW says with prior charges/no contact order against victim it becomes class C felony, assume if its related to DV it would trigger felony charge ",http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
PHONE HARAS /DV,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
PHONE HARASS -NON DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
PHONE HARASSMENT,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230,,,,,
PHYS CNTRL W/ PRIOR CONVICTION,,class C felony,public order,prior convicitons elevate charge to felony ,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
PHYS CONTROL,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
PHYS CTRL W/ PRIOR CONVICTION,,class C felony,public order,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
PHYSICAL CNTRL,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,,,,,
POS WPN CAUSE HARM,,class C felony,violent,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
POSS BURG TOOL,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.060,,,,,
POSS BURG TOOLS,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.060,,,,,
POSS DANG WEAPON,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250,,,,,
POSS DANGEROUS WPN,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250,,,,,
POSS DEP MIN ENG SEX EXP CONDUCT,,class B felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.070,,,,,
POSS FICT/ALT LIC,,gross misdemeanor,public order,can be class C felony if done to commit theft or for financial gain ,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
POSS INCENDIARY DEV,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.120,,,,,
POSS INJ DEVICE,,misdemeanor,drug,covered under paraphanelia ,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
POSS INJECTION DEVICE,,misdemeanor,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
POSS LEG. DRUG/PROHIBITED ACT,,misdemeanor,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
POSS LEGEND DRUG/INTENT TO SELL,,class B felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
POSS LGND DRUG-NO PRESCRIPTION,,misdemeanor,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
POSS MARIJUANA - 40 GRAMS OR LESS,,misdemeanor,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4014,,,,,
POSS OF A STOLEN FIREARM,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.310,,,,,
POSS OF EXPLOSIVES W/O LICENSE,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.022,,,,,
POSS SUSP DRV LIC,,other,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.338,,,,,
POSS UNLAWFUL FIREARM,,class C felony,public order,class of felony depends on 1st or 2nd degree,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
POSS WEAP ON SCHOOL PROP,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.280,,,,,
POSS. MOTOR VEHICLE  THEFT TOOLS,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063,,,,,
POSSESION BY OFFENDERS - F/A AMMO,,,public order,"unlawful but not specified what charge, up to parole officers on how to proceed or file new charge ",http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.045,,,,,
POSSESS CNTRL SUBS-PENALTY,,class C felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4013,,,,,
POSSESS COUNTERFEIT SUBSTANCE,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4011,,,,,
POSSESS DRUG PARAPHERNALIA,,misdemeanor,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
POSSESS EXPLOSIVE/STINK BOMBS,,misdemeanor,public order,"the stink bombs makes a big difference, standard explosives are class A felony ",https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.310,,,,,
POSSESS FICT/ALTERED LICENSE,,gross misdemeanor,public order,can be class C felony if done to commit theft or for financial gain ,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921,,,,,
POSSESS INHALANT,,misdemeanor,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.47A&full=true#9.47A.030,,,,,
POSSESS PISTOL BY PERS AGE 18 T0 21,,,public order,"unlawful but charge not specified, could be the same as possession of unlawful firearm ",http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.240,,,,,
POSSESS STOLEN VEHICLE,,class B felony,property,,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.56.068,,,,,
POSSESSION OF DANGEROUS WEAPON,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250,,,,,
POSSESSION OF STOLEN MAIL,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.380,,,,,
POSSESSION OF UNLAWFUL FIREARMS,,class B/C felony,public order,class of felony depends on 1st or 2nd degree,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040,,,,,
POTENTIALLLY DANGEROUS DOG -NOTIFY,,gross misdemeanor,public order, might not be the right crime but it seems like anything related to failure to register potentially dangerous dog is a gross misdemeanor,https://app.leg.wa.gov/rcw/default.aspx?cite=16.08.100,,,,,https://app.leg.wa.gov/rcw/default.aspx?cite=16.08.090
PRESC FORGERY,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.403,,,,,
PRISONER POSS CS,,class C felony,drug,,http://app.leg.wa.gov/rcw/default.aspx?Cite=9.94.041,,,,,
PROB VIOL (PROST),,,public order,"seems like it they would be charged with the new crime, whatever it be, and then a parole violation is separate and up to the PO's discretion ",http://app.leg.wa.gov/rcw/default.aspx?cite=9.94A.737,,,,,
PROBAT HLD,,other,other,,,,,,,
PROM PROST 1,,class B felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.070,,,,,
PROM PROST 2,,class C felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.080,,,,,
PROMOTING SEXUAL ABUSE OF A MINOR,,class A felony,sex,"RCW charge includes word ""commerical"" that is absent in the listed charge ",https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.101,,,,,
PROST,,misdemeanor,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.030,,,,,
PSP 1,,class B felony,property,PSP=possession stolen property ,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.150,,,,,
PSP 2,,class C felony,property,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.160,,,,,
PSP 3,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.170,,,,,
PSP,,gross misdemeanor/class B felony,property,see PSP charges above,,,,,,
PUB DIST-VEH SND SYS,,misdemeanor,public order,abbreviations unclear,,,,,,
PUBLIC DISTURBANCE,,,public order,"actually a number of other specific crimes that range in severity, see source ",https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84&full=true,,,,,
RACING,,gross misdemeanor,public order,considered reckless driving,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.530,,,,,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.500
RAPE 1,,class A felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.040,,,,,
RAPE 2,,class A felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.050,,,,,
RAPE 3,,class C felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.060,,,,,
RECK BURN 1,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.040,,,,,
RECK BURN 2,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
RECK DRV,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.500,,,,,
RECK ENDAN /DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
RECK ENDANG /DV,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
RECK ENDANGER,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
RECK ENDANGERMENT,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
RECKLES ENDANGER OF HI-WAY WORKER,,gross misdemeanor,public order,don't know why they needed a new crime just for these ,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.527,,,,,
RECKLESS BURNING  2 ND DEGREE,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
RECKLESS BURNING- 2,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050,,,,,
RECKLESS ENDANGERMENT,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050,,,,,
RECREATIONAL FISHING 1ST DEGREEE,,gross misdemeanor,public order,,http://app.leg.wa.gov/RCW/default.aspx?Cite=77.15.370,,,,,
RECREATIONAL FISHING 2ND DEGREE,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=77.15.380,,,,,
REFUSE INFO,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
REFUSE TO GIVE INFO/COOPERATE W/0,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
REND CRIM ASSIST 2,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.080,,,,,
REND CRIM ASSIST 3,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.090,,,,,
REND CRIM ASST 1,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.070,,,,,
RES BURGLARY,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.025,,,,,
RESIS ARR,,misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040,,,,,
RESIST ARR /DV,,misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040,,,,,
RESIST ARR,,misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.76.040,,,,,
RETAIL THFT W/EXT CIRCUMSTANCES 1,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360,,,,,
RETAIL THFT W/EXT CIRCUMSTANCES 2,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360,,,,,
RETAIL THFT W/EXT CIRCUMSTANCES 3,,class C felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360,,,,,
RIOT-ARMED,,class C felony,violent,"I think it would be considered criminal mischief with deadly weapon, no rcw for rioting renders a charge ",https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.010,,,,,
ROBBERY 1,,class A felony,violent,categorized as violent due to robbery's requirement of force and intimidation,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.200,,,,,
ROBBERY 2,,class B felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.210,,,,,
SELLING MTV. W/TURNED BACK ODOM,,misdemeanor,public order,considered unlawful but charge not specified ,http://apps.leg.wa.gov/RCW/default.aspx?cite=46.37.550,,,,,
SEX EXPLOIT MINOR,,class B felony,sex,,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.040,,,,,
SEX OFFENDER / NON FELON FAIL REG.,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132,,,,,
SEX VIOL PRED,,other,other,"I think this is a label on an inmate, Sexually Violent Predator, not a charge ",http://app.leg.wa.gov/rcw/supdefault.aspx?cite=71.09&full=true,,,,,
SEX/KIDNAP OFFNDR FAIL TO REGISTER,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132,,,,,
SEXUAL ASSAULT,,,sex,doesn't appear to be a charge in WA called sexual assault ,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44,,,,,
SODA VIOL,,gross misdemeanor,drug,"Marysville statute, SODA=Stay Out of Drugs Area ",http://www.codepublishing.com/WA/Marysville/html/Marysville06/Marysville0628.html,,,,,
SOL OCCUPANT OF VEH PUB ROAD,,misdemeanor,public order,unlawful but no charge specified,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.255,,,,,
SOL PROST,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.110,,,,,
STALKING,,gross misdemeanor,public order,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.46.110,,,,,
STATUTORY RAPE 3,,,sex,"doesn't seem to be a stat rape 3 charge in WA, though there are ones relating to sexual misconduct with minors ",,,,,,
SUPP LIQ MINOR,,gross misdemeanor,public order,,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270,,,,,
SUSPENDED VEHICLE REGISTRATION,,civil infraction,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.030,,,,,
