place_of_birth,country_of_birth
WALLIS AND FUTUNA (FRENCH TERRITORY),WALLIS AND FUTUNA (FRENCH TERRITORY)
WASHINGTON,UNITED STATES OF AMERICA
WEST VIRGINIA,UNITED STATES OF AMERICA
WESTERN SAMOA,WESTERN SAMOA
WISCONSIN,UNITED STATES OF AMERICA
WYOMING,UNITED STATES OF AMERICA
YUGOSLAVIA,YUGOSLAVIA
ZAIRE,ZAIRE
ZAMBIA,ZAMBIA
Zimbabwe (formerly Rhodesia),Zimbabwe (formerly Rhodesia)
